dataset,partition,clients,target_method,reference_method,seeds,n,paired_delta_mean_macro_f1,paired_delta_std,bootstrap95_ci_low,bootstrap95_ci_high,paired_cohens_d,wins_losses_ties,sign_test_p
amazon_computers,dirichlet_0.1,20,spc_guard_pp,fedath,0 1 2,3,0.0178,0.0294,-0.0120,0.0468,0.6064,2/1/0,1.0000
amazon_computers,dirichlet_0.1,20,spc_guard_pp,fedssp,0 1 2,3,0.0228,0.0179,0.0057,0.0413,1.2754,3/0/0,0.2500
amazon_computers,dirichlet_0.1,20,spc_guard_pp,fedpub_gcn,0 1 2,3,0.1309,0.0154,0.1161,0.1469,8.4773,3/0/0,0.2500
amazon_photo,dirichlet_0.1,20,spc_guard_pp,fedath,0 1 2 3 4,5,0.0002,0.0244,-0.0173,0.0208,0.0085,2/3/0,1.0000
amazon_photo,dirichlet_0.1,20,spc_guard_pp,fedssp,0 1 2 3 4,5,0.0316,0.0176,0.0189,0.0456,1.7976,5/0/0,0.0625
amazon_photo,dirichlet_0.1,20,spc_guard_pp,fedpub_gcn,0 1 2,3,0.1329,0.0220,0.1183,0.1582,6.0477,3/0/0,0.2500
citeseer,dirichlet_0.1,10,spc_guard_pp,fedath,0 1 2,3,0.0210,0.0105,0.0116,0.0324,1.9931,3/0/0,0.2500
citeseer,dirichlet_0.1,10,spc_guard_pp,fedssp,0 1 2,3,0.0324,0.0170,0.0130,0.0445,1.9088,3/0/0,0.2500
citeseer,dirichlet_0.1,20,spc_guard_pp,fedath,0 1 2 3 4,5,0.0166,0.0106,0.0093,0.0260,1.5605,5/0/0,0.0625
citeseer,dirichlet_0.1,20,spc_guard_pp,fedssp,0 1 2 3 4,5,0.0313,0.0101,0.0236,0.0390,3.1078,5/0/0,0.0625
citeseer,dirichlet_0.1,20,spc_guard_pp,fedpub_gcn,0 1 2,3,0.0473,0.0140,0.0325,0.0603,3.3731,3/0/0,0.2500
citeseer,dirichlet_0.5,10,spc_guard_pp,fedath,0 1 2,3,0.0047,0.0190,-0.0160,0.0213,0.2470,2/1/0,1.0000
citeseer,dirichlet_0.5,10,spc_guard_pp,fedssp,0 1 2,3,0.0009,0.0259,-0.0275,0.0231,0.0347,2/1/0,1.0000
citeseer,dirichlet_0.5,20,spc_guard_pp,fedath,0 1 2,3,0.0265,0.0150,0.0129,0.0427,1.7638,3/0/0,0.2500
citeseer,dirichlet_0.5,20,spc_guard_pp,fedssp,0 1 2,3,0.0317,0.0181,0.0162,0.0516,1.7501,3/0/0,0.2500
cora,dirichlet_0.1,10,spc_guard_pp,fedath,0 1 2,3,0.0244,0.0053,0.0213,0.0306,4.5956,3/0/0,0.2500
cora,dirichlet_0.1,10,spc_guard_pp,fedssp,0 1 2,3,0.0277,0.0032,0.0247,0.0311,8.5982,3/0/0,0.2500
cora,dirichlet_0.1,20,spc_guard_pp,fedath,0 1 2 3 4,5,0.0129,0.0135,0.0023,0.0234,0.9541,4/1/0,0.3750
cora,dirichlet_0.1,20,spc_guard_pp,fedssp,0 1 2 3 4,5,0.0225,0.0086,0.0162,0.0293,2.6154,5/0/0,0.0625
cora,dirichlet_0.1,20,spc_guard_pp,fedpub_gcn,0 1 2,3,0.0376,0.0269,0.0147,0.0672,1.3996,3/0/0,0.2500
cora,dirichlet_0.5,10,spc_guard_pp,fedath,0 1 2,3,0.0080,0.0121,-0.0031,0.0208,0.6664,2/1/0,1.0000
cora,dirichlet_0.5,10,spc_guard_pp,fedssp,0 1 2,3,0.0177,0.0154,0.0050,0.0349,1.1466,3/0/0,0.2500
cora,dirichlet_0.5,20,spc_guard_pp,fedath,0 1 2,3,0.0356,0.0153,0.0210,0.0515,2.3244,3/0/0,0.2500
cora,dirichlet_0.5,20,spc_guard_pp,fedssp,0 1 2,3,0.0517,0.0123,0.0377,0.0605,4.2186,3/0/0,0.2500
pubmed,dirichlet_0.1,10,spc_guard_pp,fedath,0 1 2,3,0.1480,0.0421,0.0997,0.1767,3.5189,3/0/0,0.2500
pubmed,dirichlet_0.1,10,spc_guard_pp,fedssp,0 1 2,3,0.1611,0.0276,0.1293,0.1771,5.8461,3/0/0,0.2500
pubmed,dirichlet_0.1,20,spc_guard_pp,fedath,0 1 2,3,0.1034,0.0495,0.0645,0.1591,2.0891,3/0/0,0.2500
pubmed,dirichlet_0.1,20,spc_guard_pp,fedssp,0 1 2,3,0.1037,0.0499,0.0649,0.1599,2.0783,3/0/0,0.2500
pubmed,dirichlet_0.1,20,spc_guard_pp,fedpub_gcn,0 1 2,3,0.1299,0.0758,0.0441,0.1880,1.7126,3/0/0,0.2500
pubmed,dirichlet_0.5,10,spc_guard_pp,fedath,0 1 2,3,0.1147,0.0449,0.0632,0.1459,2.5527,3/0/0,0.2500
pubmed,dirichlet_0.5,10,spc_guard_pp,fedssp,0 1 2,3,0.1166,0.0419,0.0686,0.1457,2.7824,3/0/0,0.2500
pubmed,dirichlet_0.5,20,spc_guard_pp,fedath,0 1 2,3,0.0065,0.0017,0.0046,0.0078,3.8864,3/0/0,0.2500
pubmed,dirichlet_0.5,20,spc_guard_pp,fedssp,0 1 2,3,0.0070,0.0005,0.0065,0.0074,15.4312,3/0/0,0.2500
roman_empire,dirichlet_0.1,20,spc_guard_pp,fedath,0 1 2,3,0.0382,0.0054,0.0337,0.0442,7.0331,3/0/0,0.2500
roman_empire,dirichlet_0.1,20,spc_guard_pp,fedssp,0 1 2,3,0.0454,0.0045,0.0415,0.0502,10.1385,3/0/0,0.2500
roman_empire,dirichlet_0.1,20,spc_guard_pp,fedpub_gcn,0 1 2,3,0.0634,0.0156,0.0477,0.0789,4.0584,3/0/0,0.2500
tolokers,dirichlet_0.1,20,spc_guard_pp,fedath,0 1 2,3,0.0321,0.0327,0.0000,0.0653,0.9812,2/0/1,0.5000
tolokers,dirichlet_0.1,20,spc_guard_pp,fedssp,0 1 2,3,0.0321,0.0327,0.0000,0.0653,0.9812,2/0/1,0.5000
tolokers,dirichlet_0.1,20,spc_guard_pp,fedpub_gcn,0 1 2,3,0.0321,0.0327,0.0000,0.0653,0.9812,2/0/1,0.5000
