stage,dataset,method,seeds,mean_macro_f1,std_macro_f1
contribution,amazon_photo,spc_guard,3,0.2136,0.0412
contribution,amazon_photo,spc_guard_pp,3,0.2152,0.0196
contribution,amazon_photo,spc_guard_pp_no_class_balance,3,0.1890,0.0383
contribution,amazon_photo,spc_guard_pp_no_coverage,3,0.2139,0.0492
contribution,amazon_photo,spc_guard_random_candidates,3,0.1887,0.0195
contribution,amazon_photo,spc_no_personalization,3,0.1571,0.0462
contribution,amazon_photo,spc_protoagg,3,0.1521,0.1184
contribution,cora,spc_guard,3,0.1937,0.0139
contribution,cora,spc_guard_pp,3,0.1931,0.0113
contribution,cora,spc_guard_pp_no_class_balance,3,0.1539,0.0198
contribution,cora,spc_guard_pp_no_coverage,3,0.1930,0.0121
contribution,cora,spc_guard_random_candidates,3,0.1519,0.0200
contribution,cora,spc_no_personalization,3,0.1140,0.0538
contribution,cora,spc_protoagg,3,0.1335,0.0120
contribution,pubmed,spc_guard,3,0.3884,0.0569
contribution,pubmed,spc_guard_pp,3,0.3844,0.0575
contribution,pubmed,spc_guard_pp_no_class_balance,3,0.2972,0.0602
contribution,pubmed,spc_guard_pp_no_coverage,3,0.3843,0.0572
contribution,pubmed,spc_guard_random_candidates,3,0.2961,0.0591
contribution,pubmed,spc_no_personalization,3,0.2358,0.0530
contribution,pubmed,spc_protoagg,3,0.2859,0.0912
fair_cb,amazon_photo,fedath,3,0.2371,0.0277
fair_cb,amazon_photo,fedath_cb,3,0.2434,0.0501
fair_cb,amazon_photo,fedavg_gcn,3,0.1713,0.0383
fair_cb,amazon_photo,fedavg_gcn_cb,3,0.1903,0.0183
fair_cb,amazon_photo,fedprox_gcn,3,0.1873,0.0517
fair_cb,amazon_photo,fedprox_gcn_cb,3,0.1802,0.0253
fair_cb,amazon_photo,fedpub_gcn,3,0.0831,0.0069
fair_cb,amazon_photo,fedpub_gcn_cb,3,0.0854,0.0124
fair_cb,amazon_photo,spc_guard_pp,3,0.1968,0.0233
fair_cb,cora,fedath,3,0.1774,0.0283
fair_cb,cora,fedath_cb,3,0.2062,0.0180
fair_cb,cora,fedavg_gcn,3,0.1109,0.0562
fair_cb,cora,fedavg_gcn_cb,3,0.1258,0.0191
fair_cb,cora,fedprox_gcn,3,0.1112,0.0573
fair_cb,cora,fedprox_gcn_cb,3,0.1255,0.0191
fair_cb,cora,fedpub_gcn,3,0.1567,0.0318
fair_cb,cora,fedpub_gcn_cb,3,0.1752,0.0163
fair_cb,cora,spc_guard_pp,3,0.1912,0.0109
fair_cb,pubmed,fedath,3,0.2807,0.0743
fair_cb,pubmed,fedath_cb,3,0.3279,0.1156
fair_cb,pubmed,fedavg_gcn,3,0.1961,0.0317
fair_cb,pubmed,fedavg_gcn_cb,3,0.3093,0.1210
fair_cb,pubmed,fedprox_gcn,3,0.1956,0.0311
fair_cb,pubmed,fedprox_gcn_cb,3,0.3091,0.1206
fair_cb,pubmed,fedpub_gcn,3,0.2538,0.0604
fair_cb,pubmed,fedpub_gcn_cb,3,0.3506,0.1014
fair_cb,pubmed,spc_guard_pp,3,0.3843,0.0576
gate_independent,amazon_photo,spc_guard,3,0.1919,0.0438
gate_independent,amazon_photo,spc_guard_pp,3,0.1988,0.0195
gate_independent,cora,spc_guard,3,0.1710,0.0076
gate_independent,cora,spc_guard_pp,3,0.1698,0.0082
gate_independent,pubmed,spc_guard,3,0.3666,0.0480
gate_independent,pubmed,spc_guard_pp,3,0.3742,0.0543
smoke,cora,fedavg_gcn_cb,1,0.1478,0.0000
smoke,cora,spc_guard,1,0.1445,0.0000
smoke,cora,spc_guard_pp,1,0.1378,0.0000
