dataset,method,n_seeds,seeds,strong_mean_macro_f1,strong_std_macro_f1,paired_spc_mean_macro_f1,paired_delta_spc_minus_strong,paired_spc_wins_losses_ties
amazon_computers,adafgl_matched,3,0 1 2,0.2011,0.0330,0.1958,-0.0053,1/2/0
amazon_computers,fedgta_matched,3,0 1 2,0.0947,0.0394,0.1958,0.1010,3/0/0
amazon_computers,fediih_matched,3,0 1 2,0.0868,0.0143,0.1958,0.1090,3/0/0
amazon_photo,adafgl_matched,3,0 1 2,0.2166,0.0420,0.2191,0.0025,1/2/0
amazon_photo,fedgta_matched,3,0 1 2,0.1260,0.0734,0.2191,0.0931,3/0/0
amazon_photo,fediih_matched,3,0 1 2,0.1036,0.0140,0.2191,0.1156,3/0/0
citeseer,adafgl_matched,3,0 1 2,0.2164,0.0260,0.2279,0.0115,3/0/0
citeseer,fedgta_matched,3,0 1 2,0.1589,0.0142,0.2279,0.0690,3/0/0
citeseer,fediih_matched,3,0 1 2,0.1848,0.0181,0.2279,0.0431,3/0/0
cora,adafgl_matched,3,0 1 2,0.1919,0.0099,0.1910,-0.0010,1/2/0
cora,fedgta_matched,3,0 1 2,0.1299,0.0142,0.1910,0.0610,3/0/0
cora,fediih_matched,3,0 1 2,0.1960,0.0050,0.1910,-0.0051,1/2/0
pubmed,adafgl_matched,3,0 1 2,0.3268,0.1113,0.3844,0.0576,3/0/0
pubmed,fedgta_matched,3,0 1 2,0.2873,0.0915,0.3844,0.0971,3/0/0
pubmed,fediih_matched,3,0 1 2,0.3396,0.0991,0.3844,0.0447,3/0/0
roman_empire,adafgl_matched,3,0 1 2,0.2047,0.0087,0.2084,0.0037,3/0/0
roman_empire,fedgta_matched,3,0 1 2,0.1372,0.0091,0.2084,0.0712,3/0/0
roman_empire,fediih_matched,3,0 1 2,0.2045,0.0092,0.2084,0.0039,3/0/0
tolokers,adafgl_matched,3,0 1 2,0.3664,0.0221,0.3985,0.0321,2/0/1
tolokers,fedgta_matched,3,0 1 2,0.3749,0.0275,0.3985,0.0236,2/0/1
tolokers,fediih_matched,3,0 1 2,0.3664,0.0221,0.3985,0.0321,2/0/1
